Beer,Brewery,Location,Style,Size,ABV,IBUs
Old Forge Pumpkin Ale,Old Forge Brewing Company,"Danville, PA",Pumpkin Ale,16 oz.,4.60%,20
Cascadian Dark Ale,Coalition Brewing Company,"Portland, OR",American Black Ale,12 oz.,6.00%,75
Sanitas Saison Ale,Sanitas Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz.,5.80%,20
Sanitas Black IPA,Sanitas Brewing Company,"Boulder, CO",American Black Ale,12 oz.,6.80%,65
Double D Blonde (2013),Hop Valley Brewing Company,"Springfield, OR",American Blonde Ale,12 oz.,4.90%,20
Osiris Pale Ale,Sun King Brewing Company,"Indianapolis, IN",American Pale Ale (APA),16 oz.,5.60%,50
The Crisp,Sixpoint Craft Ales,"Brooklyn, NY",German Pilsener,16 oz.,5.40%,42
Sweet Action,Sixpoint Craft Ales,"Brooklyn, NY",Cream Ale,16 oz.,5.20%,34
Righteous Ale,Sixpoint Craft Ales,"Brooklyn, NY",Rye Beer,16 oz.,6.30%,57
Bengali Tiger,Sixpoint Craft Ales,"Brooklyn, NY",American IPA,16 oz.,6.40%,62
Elephant Rock IPA,Pikes Peak Brewing Company,"Monument, CO",American IPA,12 oz.,7.00%,75
Beaver Logger,Gore Range Brewery,"Edwards, CO",American Pale Lager,12 oz.,5.20%,19
Crank Yanker IPA,Eddyline Brewery & Restaurant,"Buena Vista, CO",American IPA,16 oz.,7.80%,74
Endless Sun Ale,Old Forge Brewing Company,"Danville, PA",American Pale Wheat Ale,16 oz.,4.50%,N/A
Harpoon Summer Beer,Harpoon Brewery,"Boston, MA",Kölsch,12 oz.,5.00%,28
Harpoon IPA,Harpoon Brewery,"Boston, MA",American IPA,12 oz.,5.90%,42
Totally Roasted,Vander Mill Ciders,"Spring Lake, MI",Cider,16 oz.,6.80%,N/A
Blue Gold,Vander Mill Ciders,"Spring Lake, MI",Cider,16 oz.,6.80%,N/A
Hard Apple,Vander Mill Ciders,"Spring Lake, MI",Cider,16 oz.,6.80%,N/A
Nectar of the Hops,Redstone Meadery,"Boulder, CO",Mead,16 oz.,8.00%,N/A
Sunshine Nectar,Redstone Meadery,"Boulder, CO",Mead,16 oz.,8.00%,N/A
Black Raspberry Nectar,Redstone Meadery,"Boulder, CO",Mead,16 oz.,8.00%,N/A
Yellow Collar,Blue Dog Mead,"Eugene, OR",Mead,12 oz.,5.90%,N/A
Green Collar,Blue Dog Mead,"Eugene, OR",Mead,12 oz.,5.90%,N/A
Ruhstaller's Gilt Edge Lager Beer,Ruhstaller Beer Company,"Sacramento, CA",American Amber / Red Lager,12 oz.,4.80%,42
Gwar Beer,Cigar City Brewing Company,"Tampa, FL",American Pale Ale (APA),12 oz.,5.50%,N/A
Bourbon Barrel Aged Timmie,Sun King Brewing Company,"Indianapolis, IN",Russian Imperial Stout,16 oz. Alumi-Tek®,9.90%,75
Stupid Sexy Flanders,Sun King Brewing Company,"Indianapolis, IN",Flanders Oud Bruin,16 oz. Alumi-Tek®,6.30%,23
Pumple Drumkin,Cisco Brewers,"Nantucket, MA",Pumpkin Ale,12 oz.,6.00%,N/A
Big Bowl Blonde Ale,Wild Onion Brewing Company,"Lake Barrington, IL",American Brown Ale,12 oz.,5.00%,N/A
Grisette,Sly Fox Brewing Company,"Pottstown, PA",Grisette,12 oz.,5.60%,25
Casinos IPA,Santa Cruz Mountain Brewing,"Santa Cruz, CA",English India Pale Ale (IPA),16 oz.,7.00%,N/A
Half Full Bright Ale,Half Full Brewery,"Stamford, CT",American Blonde Ale,12 oz.,5.20%,18
Screaming Eagle Special Ale ESB,Bonfire Brewing Company,"Eagle, CO",Extra Special / Strong Bitter (ESB),12 oz.,4.80%,38
Saranac Shandy,Matt Brewing Company,"Utica, NY",Shandy,12 oz.,4.20%,N/A
Point Oktoberfest,Stevens Point Brewery,"Stevens Point, WI",Märzen / Oktoberfest,16 oz.,5.70%,15
Monk from the 'Yunk,Manayunk Brewing Company,"Philadelphia, PA",Tripel,12 oz.,9.00%,30
Schuylkill Punch,Manayunk Brewing Company,"Philadelphia, PA",Fruit / Vegetable Beer,12 oz.,6.00%,14
541 American Lager,Hop Valley Brewing Company,"Springfield, OR",American Pale Lager,12 oz.,4.80%,13
Alphadelic IPA,Hop Valley Brewing Company,"Springfield, OR",American IPA,12 oz.,6.50%,90
Contemplation,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,6.50%,N/A
Grazias,Hess Brewing Company,"San Diego, CA",Cream Ale,16 oz.,6.30%,30
Summer Solstice,Anderson Valley Brewing Company,"Boonville, CA",Cream Ale,12 oz.,5.60%,4
Boston Lager,Boston Beer Company,"Boston, MA",Vienna Lager,16 oz.,4.90%,30
KelSo Pilsner,KelSo Beer Company,"Brooklyn, NY",Czech Pilsener,12 oz.,5.50%,23
Bourbon Barrel Cowbell,Sun King Brewing Company,"Indianapolis, IN",American Porter,16 oz. Alumi-Tek®,???,N/A
Habitus IPA,Hess Brewing Company,"San Diego, CA",American IPA,16 oz.,8.00%,86
Patty's Chile Beer,Wynkoop Brewing Company,"Denver, CO",Chile Beer,12 oz.,4.20%,N/A
Classique,Stillwater Artisanal Ales,"Baltimore, MD",Saison / Farmhouse Ale,12 oz.,4.50%,N/A
Barrio Tucson Blonde,Barrio Brewing Company,"Tucson, AZ",American Blonde Ale,12 oz.,4.50%,N/A
First Press,Ciderboys,"Stevens Point, WI",Cider,12 oz.,5.00%,N/A
Magic Apple,Ciderboys,"Stevens Point, WI",Cider,12 oz.,5.00%,N/A
UFO Pumpkin,Harpoon Brewery,"Boston, MA",Pumpkin Ale,12 oz.,5.90%,20
Old Chico Crystal Wheat,Sierra Nevada Brewing Company,"Chico, CA",American Pale Wheat Ale,12 oz.,4.80%,26
Core Oatmeal Stout,Core Brewing & Distilling Company,"Springdale, AR",Oatmeal Stout,12 oz.,5.70%,N/A
Core ESB,Core Brewing & Distilling Company,"Springdale, AR",Extra Special / Strong Bitter (ESB),12 oz.,6.10%,N/A
Float Trip Ale,Piney River Brewing Company,"Bucryus, MO",American Blonde Ale,16 oz.,4.50%,18
Dreamin' Double IPA,Manayunk Brewing Company,"Philadelphia, PA",American Double / Imperial IPA,12 oz.,8.50%,85
Quakertown Stout,Armadillo Ale Works,"Denton, TX",American Double / Imperial Stout,12 oz.,9.20%,50
Greenbelt Farmhouse Ale,Armadillo Ale Works,"Denton, TX",Saison / Farmhouse Ale,12 oz.,5.10%,20
Hardywood Cream Ale,Hardywood Park Craft Brewery,"Richmond, VA",Cream Ale,12 oz.,4.40%,18
Track 1 Amber Lager,Roanoke Railhouse Brewery,"Roanoke, VA",American Amber / Red Lager,16 oz.,4.50%,N/A
I.W.A. (2011),SanTan Brewing Company,"Chandler, AZ",American Pale Wheat Ale,12 oz.,6.00%,N/A
Deviant Dale's IPA,Oskar Blues Brewery (North Carol...,"Brevard, NC",American Double / Imperial IPA,16 oz.,8.00%,85
Hop Ottin' IPA,Anderson Valley Brewing Company,"Boonville, CA",American IPA,12 oz.,7.00%,80
Boont Amber Ale,Anderson Valley Brewing Company,"Boonville, CA",American Amber / Red Ale,12 oz.,5.80%,15
Big Rod Coconut Ale,Miami Brewing Company,"Miami, FL",American Blonde Ale,12 oz.,5.30%,16
Schlafly Yakima Wheat Ale,Schlafly Brewing Company,"Saint Louis, MO",American Pale Wheat Ale,12 oz.,5.00%,45
Schlafly Black Lager,Schlafly Brewing Company,"Saint Louis, MO",Schwarzbier,12 oz.,5.00%,N/A
Green Bullet Organic India Pale Ale,Asher Brewing Company,"Boulder, CO",American IPA,16 oz.,7.00%,45
Brewerhood Brown Ale,Blue Blood Brewing Company,"Lincoln, NE",American Brown Ale,12 oz.,5.50%,N/A
Last Call Imperial Amber Ale,Blue Blood Brewing Company,"Lincoln, NE",American Amber / Red Ale,12 oz.,8.00%,N/A
Pernicious Double IPA,Blue Blood Brewing Company,"Lincoln, NE",American Double / Imperial IPA,12 oz.,9.60%,N/A
Wild Wolf Wee Heavy Scottish Style Ale,Wild Wolf Brewing Company,"Nellysford, VA",Scotch Ale / Wee Heavy,12 oz.,5.70%,20
Steel Rail Extra Pale Ale,Berkshire Brewing Company,"South Deerfield, MA",American Pale Ale (APA),12 oz.,5.30%,20
Colorojo Imperial Red Ale,Wynkoop Brewing Company,"Denver, CO",American Strong Ale,12 oz.,8.20%,N/A
Upslope Imperial India Pale Ale,Upslope Brewing Company,"Boulder, CO",American Double / Imperial IPA,19.2 oz.,9.90%,90
Popcorn Pilsner,Sun King Brewing Company,"Indianapolis, IN",German Pilsener,16 oz.,5.40%,N/A
Harpoon Octoberfest,Harpoon Brewery,"Boston, MA",Märzen / Oktoberfest,12 oz.,5.50%,30
Westbrook Gose,Westbrook Brewing Company,"Mt. Pleasant, SC",Gose,12 oz.,4.00%,5
Geary's Summer Ale,D.L. Geary Brewing Company,"Portland, ME",Kölsch,12 oz.,6.00%,N/A
Boston Lager,Boston Beer Company,"Boston, MA",Vienna Lager,12 oz.,4.90%,30
Face Plant IPA,Lost Rhino Brewing Company,"Ashburn, VA",American IPA,12 oz.,6.20%,65
Rhino Chasers Pilsner,Lost Rhino Brewing Company,"Ashburn, VA",Czech Pilsener,12 oz.,5.60%,55
Paleo IPA,North Country Brewing Company,"Slippery Rock, PA",English India Pale Ale (IPA),12 oz.,6.00%,N/A
Buck Snort Stout,North Country Brewing Company,"Slippery Rock, PA",American Stout,12 oz.,6.10%,N/A
Station 33 Firehouse Red,North Country Brewing Company,"Slippery Rock, PA",Irish Red Ale,12 oz.,5.50%,N/A
Slimy Pebble Pils,North Country Brewing Company,"Slippery Rock, PA",German Pilsener,12 oz.,4.50%,N/A
6-4-3 Double Play Pilsner,Blue Blood Brewing Company,"Lincoln, NE",German Pilsener,12 oz.,5.20%,N/A
Blur India Pale Ale,Seabright Brewery,"Santa Cruz, CA",American IPA,12 oz.,7.40%,60
Easy Livin' Summer Ale,Crow Peak Brewing Company,"Spearfish, SD",American Blonde Ale,12 oz.,4.50%,N/A
Gateway Kolsch Style Ale,French Broad Brewery,"Asheville, NC",Kölsch,12 oz.,5.30%,32
Supermonk I.P.A.,SanTan Brewing Company,"Chandler, AZ",Belgian IPA,12 oz.,6.50%,N/A
Sockeye Belgian Style Summer Ale,Sockeye Brewing Company,"Boise, ID",Witbier,16 oz.,5.00%,N/A
Estival Cream Stout,Ska Brewing Company,"Durango, CO",American Stout,12 oz.,5.80%,15
Point the Way IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,12 oz.,5.90%,60
Summerfest,Sierra Nevada Brewing Company,"Chico, CA",Czech Pilsener,12 oz.,5.00%,28
Angry Orchard Apple Ginger,Angry Orchard Cider Company,"Cincinnati, OH",Cider,16 oz.,5.00%,N/A
Angry Orchard Crisp Apple,Angry Orchard Cider Company,"Cincinnati, OH",Cider,16 oz.,5.00%,N/A
Angry Orchard Crisp Apple,Angry Orchard Cider Company,"Cincinnati, OH",Cider,12 oz.,5.00%,N/A
Narragansett Bohemian Pilsner,Narragansett Brewing Company,"Providence, RI",German Pilsener,16 oz.,8.60%,35
The Sword Iron Swan Ale,Real Ale Brewing Company,"Blanco, TX",English Pale Ale,12 oz.,5.90%,N/A
Bozone HopZone IPA,Bozeman Brewing Company,"Bozeman, MT",American IPA,12 oz.,7.00%,80
Bozone Hefe Weizen,Bozeman Brewing Company,"Bozeman, MT",Hefeweizen,12 oz.,6.00%,25
Hipster Ale (Two Roads Brewing),Evil Twin Brewing,"Brooklyn, NY",American Pale Ale (APA),12 oz.,5.50%,N/A
Bikini Beer,Evil Twin Brewing,"Brooklyn, NY",American IPA,12 oz.,2.70%,N/A
No Limits Hefeweizen,Two Roads Brewing Company,"Stratford, CT",Hefeweizen,16 oz.,5.00%,N/A
Dog Days Lager,Two Brothers Brewing Company,"Warrenville, IL",Dortmunder / Export Lager,12 oz.,5.10%,17
Na Zdraví Pilsner,Southern Oregon Brewing Company,"Medford, OR",Czech Pilsener,16 oz.,4.80%,32
Nice Rack IPA,Southern Oregon Brewing Company,"Medford, OR",American IPA,16 oz.,5.50%,65
Samuel Adams Octoberfest,Boston Beer Company,"Boston, MA",Märzen / Oktoberfest,12 oz.,5.30%,15
Lazy Daze Lager,Rochester Mills Brewing Company,"Rochester, MI",American Adjunct Lager,16 oz.,5.50%,N/A
East India Pale Ale,Brooklyn Brewery,"Brooklyn, NY",English India Pale Ale (IPA),16 oz.,6.80%,47
Northern Hawk Owl Amber,The Right Brain Brewery,"Traverse City, MI",American Amber / Red Ale,12 oz.,5.80%,N/A
CEO Stout,The Right Brain Brewery,"Traverse City, MI",American Stout,16 oz.,5.90%,N/A
Will Power Pale Ale,The Right Brain Brewery,"Traverse City, MI",American Pale Ale (APA),16 oz.,4.70%,N/A
Dirty Blonde Chocolate Ale,Great River Brewery,"Davenport, IA",American Blonde Ale,12 oz.,4.80%,N/A
Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,24 oz.,4.60%,18
SNO White Ale,MillKing It Productions,"Royal Oak, MI",Witbier,16 oz.,4.80%,N/A
Louie's Demise Amber Ale,Milwaukee Brewing Company,"Milwaukee, WI",American Amber / Red Ale,16 oz.,5.10%,24
Lemongrass Saison,Maui Brewing Company,"Lahaina, HI",Saison / Farmhouse Ale,12 oz.,5.00%,N/A
Capital Trail Pale Ale,Hardywood Park Craft Brewery,"Richmond, VA",American Pale Ale (APA),12 oz.,5.60%,55
Great Crescent Coconut Porter,Great Crescent Brewery,"Aurora, IN",American Porter,16 oz.,5.60%,33
Rustic Red,Pateros Creek Brewing Company,"Fort Collins, CO",Irish Red Ale,16 oz.,5.20%,23
Black Rabbit,Brewery Vivant,"Grand Rapids, MI",American Black Ale,16 oz.,5.00%,N/A
Zaison,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,9.00%,N/A
Old Grogham Imperial India Pale Ale,Natian Brewery,"Portland, OR",American Double / Imperial IPA,16 oz.,8.50%,86
O'Fallon Pumpkin Beer,O'Fallon Brewery,"O'Fallon, MO",Pumpkin Ale,12 oz.,5.50%,N/A
El Hefe Speaks,DC Brau Brewing Company,"Washington, DC",Hefeweizen,12 oz.,5.30%,11
Marble Pilsner,Marble Brewery,"Albuquerque, NM",German Pilsener,12 oz.,4.70%,N/A
Bent Paddle Black Ale,Bent Paddle Brewing Company,"Duluth, MN",American Black Ale,12 oz.,6.00%,34
Wee-Heavy-Er Scotch Ale,French Broad Brewery,"Asheville, NC",Scotch Ale / Wee Heavy,12 oz.,7.00%,24
13 Rebels ESB,French Broad Brewery,"Asheville, NC",Extra Special / Strong Bitter (ESB),12 oz.,5.20%,42
5 Day IPA,O'Fallon Brewery,"O'Fallon, MO",American IPA,12 oz.,6.10%,66
Jack Pine Savage,Big Wood Brewery,"Vadnais Heights, MN",American Pale Ale (APA),16 oz.,5.30%,43
Forest Fire Imperial Smoked Rye,Big Wood Brewery,"Vadnais Heights, MN",Rye Beer,16 oz.,9.90%,85
Bad Axe Imperial IPA,Big Wood Brewery,"Vadnais Heights, MN",American Double / Imperial IPA,16 oz.,9.80%,76
JP's Ould Sod Irish Red IPA,James Page Brewing Company,"Stevens Point, WI",American IPA,12 oz.,6.00%,N/A
Venture Pils,Bent Paddle Brewing Company,"Duluth, MN",German Pilsener,12 oz.,5.00%,38
Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65
Trail Maker Pale Ale,Howard Brewing Company,"Lenoir, NC",American Pale Ale (APA),12 oz.,6.50%,N/A
Action Man Lager,Howard Brewing Company,"Lenoir, NC",Vienna Lager,12 oz.,5.50%,N/A
Duluchan India Pale Ale,Lavery Brewing Company,"Erie, PA",American IPA,12 oz.,5.60%,70
Main St. Virginia Ale,Center of the Universe Brewing C...,"Ashland, VA",Altbier,12 oz.,5.00%,40
Ray Ray’s Pale Ale,Center of the Universe Brewing C...,"Ashland, VA",American Pale Ale (APA),12 oz.,5.20%,42
Cranberry Blend,Downeast Cider House,"Leominster, MA",Cider,12 oz.,4.90%,N/A
Schilling Hard Cider,Schilling & Company,"Seattle, WA",Cider,12 oz.,6.50%,N/A
Dos Pistolas,Great River Brewery,"Davenport, IA",Vienna Lager,12 oz.,4.80%,20
Tropical Heatwave,Cigar City Brewing Company,"Tampa, FL",American Pale Wheat Ale,16 oz.,5.20%,N/A
Big Nose,Swamp Head Brewery,"Gainesville, FL",American IPA,12 oz.,7.30%,50
Cotton Mouth,Swamp Head Brewery,"Gainesville, FL",Witbier,12 oz.,5.00%,10
Stump Knocker Pale Ale,Swamp Head Brewery,"Gainesville, FL",American Pale Ale (APA),12 oz.,5.60%,35
Midnight Oil,Swamp Head Brewery,"Gainesville, FL",Oatmeal Stout,12 oz.,5.00%,38
Wild Night,Swamp Head Brewery,"Gainesville, FL",Cream Ale,12 oz.,5.90%,18
Pit Stop Chocolate Porter,Mavericks Beer Company,"Half Moon Bay, CA",American Porter,12 oz.,3.70%,34
Pace Setter Belgian Style Wit,Mavericks Beer Company,"Half Moon Bay, CA",Witbier,12 oz.,3.70%,21
Love Street Summer Seasonal (2014),Karbach Brewing Company,"Houston, TX",Kölsch,12 oz.,4.70%,20
The Imperial Texan,Martin House Brewing Company,"Fort Worth, TX",American Double / Imperial IPA,12 oz.,8.00%,N/A
Day Break 4-Grain Breakfast Beer,Martin House Brewing Company,"Fort Worth, TX",Rye Beer,16 oz.,5.00%,N/A
River House Saison,Martin House Brewing Company,"Fort Worth, TX",Saison / Farmhouse Ale,12 oz.,5.00%,N/A
There Will Be Stout,Martin House Brewing Company,"Fort Worth, TX",American Stout,12 oz.,6.50%,N/A
Dodgy Knight Imperial IPA,TailGate Beer,"San Diego, CA",American Double / Imperial IPA,12 oz.,8.00%,95
Mad Beach,Aviator Brewing Company,"Fuquay-Varina, NC",American Pale Wheat Ale,12 oz.,4.80%,23
Hoppy Bitch IPA,Northwest Brewing Company,"Pacific, WA",American IPA,16 oz.,6.30%,N/A
Three Skulls Ale Pale Ale,Northwest Brewing Company,"Pacific, WA",American Pale Ale (APA),16 oz.,6.30%,42
Point Nude Beach Summer Wheat,Stevens Point Brewery,"Stevens Point, WI",American Pale Wheat Ale,16 oz.,5.20%,7
Dank IPA,Dad & Dude's Breweria,"Aurora, CO",American IPA,16 oz.,6.50%,N/A
All Day IPA,Founders Brewing Company,"Grand Rapids, MI",American IPA,12 oz.,4.70%,42
Cropduster Mid-American IPA,Thunderhead Brewing Company,"Kearney, NE",American IPA,12 oz.,6.50%,N/A
Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,"Boonville, CA",Oatmeal Stout,12 oz.,5.70%,13
Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,16 oz.,4.60%,18
All American Blonde Ale,Centennial Beer Company,"Edwards, CO",American Blonde Ale,12 oz.,5.00%,N/A
All American Red Ale,Centennial Beer Company,"Edwards, CO",American Amber / Red Ale,12 oz.,5.00%,N/A
El Steinber Dark Lager,Anderson Valley Brewing Company,"Boonville, CA",Vienna Lager,16 oz.,5.50%,25
Tender Loving Empire NWPA,Fort George Brewery,"Astoria, OR",American Pale Ale (APA),16 oz.,5.80%,N/A
Chuli Stout,Denali Brewing Company,"Talkeetna, AK",Irish Dry Stout,12 oz.,5.90%,55
SUM'R,Uinta Brewing Company,"Salt Lake City, UT",American Blonde Ale,12 oz.,4.00%,17
360° India Pale Ale,Sly Fox Brewing Company,"Pottstown, PA",American IPA,12 oz.,6.20%,N/A
Mirror Pond Pale Ale,Deschutes Brewery,"Bend, OR",American Pale Ale (APA),12 oz.,5.00%,40
Summer Swelter,Baxter Brewing Company,"Lewiston, ME",American Pale Wheat Ale,12 oz.,4.70%,N/A
Twisted Helles Summer Lager,Frankenmuth Brewery,"Frankenmuth, MI",Munich Helles Lager,12 oz.,5.50%,18
Dam Lager,Sunken City Brewing Company,"Hardy, VA",American Amber / Red Lager,12 oz.,4.50%,N/A
Red Clay IPA,Sunken City Brewing Company,"Hardy, VA",American IPA,12 oz.,7.00%,N/A
Northern Lights India Pale Ale,Starr Hill Brewery,"Crozet, VA",American IPA,16 oz.,6.50%,52
Hips Don't Lie,Lucette Brewing Company,"Menominie, WI",Hefeweizen,16 oz.,6.20%,N/A
Double Brown Stout,Deep Ellum Brewing Company,"Dallas, TX",Baltic Porter,12 oz.,7.00%,N/A
Farmhouse Wit,Deep Ellum Brewing Company,"Dallas, TX",Saison / Farmhouse Ale,16 oz.,4.80%,25
Striped Bass Pale Ale,Devil's Backbone Brewing Company,"Lexington, VA",American Pale Ale (APA),12 oz.,5.20%,26
Bomber Mountain Amber Ale (2013),The Black Tooth Brewing Company,"Sheridan, WY",American Amber / Red Ale,12 oz.,4.60%,20
Indian Paintbrush IPA,The Black Tooth Brewing Company,"Sheridan, WY",American IPA,12 oz.,7.00%,75
Saddle Bronc Brown Ale (2013),The Black Tooth Brewing Company,"Sheridan, WY",English Brown Ale,12 oz.,4.80%,16
Wagon Box Wheat Beer,The Black Tooth Brewing Company,"Sheridan, WY",American Pale Wheat Ale,12 oz.,5.90%,15
Wild Plum Farmhouse Ale,Tallgrass Brewing Company,"Manhattan, KS",Saison / Farmhouse Ale,16 oz.,5.60%,20
Wild Wolf American Pilsner,Wild Wolf Brewing Company,"Nellysford, VA",American Pilsner,12 oz.,4.50%,25
Alpha Ale,Wild Wolf Brewing Company,"Nellysford, VA",American Pale Ale (APA),12 oz.,5.10%,45
Skilak Scottish Ale,Kenai River Brewing Company,"Soldotna, AK",Scottish Ale,12 oz.,5.80%,N/A
Vernal Minthe Stout,Ska Brewing Company,"Durango, CO",American Stout,12 oz.,5.80%,N/A
Swami's India Pale Ale,Pizza Port Brewing Company,"Carlsbad, CA",American IPA,16 oz.,6.80%,N/A
Notch Session Pils,Notch Brewing Company,"Ipswich, MA",Czech Pilsener,12 oz.,4.00%,N/A
Honeyspot Road White IPA,Two Roads Brewing Company,"Stratford, CT",American White IPA,12 oz.,6.00%,N/A
Duke's Cold Nose Brown Ale,Bold City Brewery,"Jacksonville, FL",American Brown Ale,12 oz.,6.00%,N/A
Peninsula Brewers Reserve (PBR),Kenai River Brewing Company,"Soldotna, AK",American Blonde Ale,12 oz.,5.00%,15
Hazy Day Belgian-Style Wit,Grey Sail Brewing of Rhode Island,"Westerly, RI",Witbier,16 oz.,4.00%,20
Bring Back the Beach Blonde Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Blonde Ale,16 oz.,5.50%,N/A
Dirtbag Dunkel,Bonfire Brewing Company,"Eagle, CO",Munich Dunkel Lager,16 oz.,4.90%,N/A
Kindler Pale Ale,Bonfire Brewing Company,"Eagle, CO",American Pale Ale (APA),12 oz.,5.30%,45
Elliott's Phoned Home Pale Ale,Cedar Creek Brewery,"Seven Points, TX",American Pale Ale (APA),16 oz.,5.10%,36
Sockeye Maibock,Sockeye Brewing Company,"Boise, ID",Maibock / Helles Bock,12 oz.,6.40%,N/A
River North White Ale,River North Brewery,"Denver, CO",Witbier,16 oz.,5.00%,N/A
River North Ale,River North Brewery,"Denver, CO",American Amber / Red Ale,16 oz.,5.00%,N/A
Vivant Tripel,Brewery Vivant,"Grand Rapids, MI",Tripel,16 oz.,8.20%,N/A
Mutiny IPA,Capital Brewery,"Middleton, WI",American IPA,12 oz.,6.20%,70
Redacted Rye IPA,Renegade Brewing Company,"Denver, CO",American IPA,16 oz.,7.00%,100
Old Chub,Oskar Blues Brewery (North Carol...,"Brevard, NC",Scottish Ale,12 oz.,8.00%,35
77 Fremont Select Spring Session IPA,Fremont Brewing Company,"Seattle, WA",American IPA,12 oz.,4.00%,N/A
Evolutionary IPA (2012),Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70
Mo's Gose,Armstrong Brewing Company,"South San Francisco, CA",Gose,16 oz.,5.20%,10
Road 2 Ruin Double IPA,Two Roads Brewing Company,"Stratford, CT",American Double / Imperial IPA,12 oz.,7.20%,N/A
Workers Comp Saison,Two Roads Brewing Company,"Stratford, CT",Saison / Farmhouse Ale,12 oz.,4.80%,N/A
Ol' Factory Pils,Two Roads Brewing Company,"Stratford, CT",German Pilsener,12 oz.,5.00%,N/A
Farm Girl Saison,Lift Bridge Brewing Company,"Stillwater, MN",Saison / Farmhouse Ale,16 oz.,6.00%,30
Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Czech Pilsener,19.2 oz.,5.30%,35
Dale's Pale Ale,Oskar Blues Brewery (North Carol...,"Brevard, NC",American Pale Ale (APA),19.2 oz.,6.50%,65
Colorado Native,AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26
TailGate Saison,TailGate Beer,"San Diego, CA",Saison / Farmhouse Ale,12 oz.,5.00%,N/A
WinterWonderGrass Festival Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,???,N/A
Oatmeal PSA,Airways Brewing Company,"Kent, WA",American Pale Ale (APA),16 oz.,5.00%,35
Rye Pils Session Lager,Deep Ellum Brewing Company,"Dallas, TX",German Pilsener,12 oz.,4.60%,N/A
Old Devil's Tooth,Sockeye Brewing Company,"Boise, ID",American Barleywine,12 oz.,9.90%,100
Mother Ale,Denali Brewing Company,"Talkeetna, AK",American Blonde Ale,12 oz.,5.60%,46
La Frontera Premium IPA,Big Bend Brewing Company,"Alpine, TX",American IPA,12 oz.,7.80%,N/A
Tejas Lager,Big Bend Brewing Company,"Alpine, TX",Czech Pilsener,12 oz.,4.70%,N/A
Number 22 Porter,Big Bend Brewing Company,"Alpine, TX",American Porter,12 oz.,6.40%,N/A
Big Bend Hefeweizen,Big Bend Brewing Company,"Alpine, TX",Hefeweizen,12 oz.,5.60%,N/A
Terlingua Gold,Big Bend Brewing Company,"Alpine, TX",American Blonde Ale,12 oz.,6.00%,N/A
Lumberyard Pilsner,Lumberyard Brewing Company,"Flagstaff, AZ",American Pilsner,12 oz.,5.30%,20
Galena Golden,Sockeye Brewing Company,"Boise, ID",American Blonde Ale,12 oz.,4.30%,N/A
Hell-Diver Pale Ale,Sockeye Brewing Company,"Boise, ID",American Pale Ale (APA),12 oz.,5.20%,32
Woolybugger Wheat,Sockeye Brewing Company,"Boise, ID",American Pale Wheat Ale,12 oz.,4.60%,12
Kentucky IPA,Alltech's Lexington Brewing Company,"Lexington, KY",American IPA,16 oz.,6.50%,N/A
Nebraska India Pale Ale,Nebraska Brewing Company,"Papillion, NE",American IPA,12 oz.,6.50%,65
EOS Hefeweizen,Nebraska Brewing Company,"Papillion, NE",Hefeweizen,12 oz.,4.80%,10
Brunette Nut Brown Ale,Nebraska Brewing Company,"Papillion, NE",English Brown Ale,12 oz.,4.80%,15
Cardinal Pale Ale,Nebraska Brewing Company,"Papillion, NE",American Pale Ale (APA),12 oz.,5.70%,29
Samuel Adams Summer Ale,Boston Beer Company,"Boston, MA",American Pale Wheat Ale,12 oz.,5.30%,7
Boston Lager,Boston Beer Company,"Boston, MA",Vienna Lager,12 oz.,4.90%,30
Humidor Series India Pale Ale,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70
Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70
José Martí American Porter,Cigar City Brewing Company,"Tampa, FL",American Porter,12 oz.,8.00%,65
Invasion Pale Ale,Cigar City Brewing Company,"Tampa, FL",American Pale Ale (APA),12 oz.,5.00%,N/A
Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",English Brown Ale,12 oz.,5.50%,25
Pre Flight Pilsner,Airways Brewing Company,"Kent, WA",American Pilsner,16 oz.,5.20%,33
Tart Side of the Moon,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,9.80%,N/A
